	entrez	genesymbol	pathway	pathway desc	NCBI protein	uniprot
104	11676	Aldoc	path:mmu00030	Pentose phosphate pathway	NP_001290352	P05063
105	14120	Fbp2	path:mmu00030	Pentose phosphate pathway	NP_032020	P70695
106	14121	Fbp1	path:mmu00030	Pentose phosphate pathway	NP_062268	Q9QXD6
107	14380	G6pd2	path:mmu00030	Pentose phosphate pathway	NP_062341	G3UWD6
108	14381	G6pdx	path:mmu00030	Pentose phosphate pathway	NP_032088	Q00612
109	13807	Eno2	path:mmu00010	Glycolysis / Gluconeogenesis	NP_001289571	P17183
110	18641	Pfkl	path:mmu00030	Pentose phosphate pathway	NP_032852	P12382
111	18642	Pfkm	path:mmu00030	Pentose phosphate pathway	NP_001156959	P47857
112	19139	Prps1	path:mmu00030	Pentose phosphate pathway	NP_067438	Q9D7G0
113	19733	Rgn	path:mmu00030	Pentose phosphate pathway	NP_033086	Q64374
114	19895	Rpia	path:mmu00030	Pentose phosphate pathway	NP_033101	P47968
115	21351	Taldo1	path:mmu00030	Pentose phosphate pathway	NP_035658	Q93092
116	21881	Tkt	path:mmu00030	Pentose phosphate pathway	NP_033414	P40142
117	230163	Aldob	path:mmu00030	Pentose phosphate pathway	NP_659152	Q3UER1
118	232449	Dera	path:mmu00030	Pentose phosphate pathway	NP_766321	Q91YP3
119	328099	Prps1l3	path:mmu00030	Pentose phosphate pathway	NP_001032835	G3UXL2
120	353204	Aldoart1	path:mmu00030	Pentose phosphate pathway	NP_001186199	A6ZI46
121	56421	Pfkp	path:mmu00030	Pentose phosphate pathway	NP_001278000	Q8C605
122	66171	Pgls	path:mmu00030	Pentose phosphate pathway	NP_001281198	D3Z4X1
123	66646	Rpe	path:mmu00030	Pentose phosphate pathway	NP_079959	Q8VEE0
124	66681	Pgm2	path:mmu00030	Pentose phosphate pathway	NP_079976	Q7TSV4
125	71336	Rbks	path:mmu00030	Pentose phosphate pathway	NP_694876	Q8R1Q9
126	72157	Pgm2	path:mmu00030	Pentose phosphate pathway	NP_082408	Q3U6X6
127	74419	Tktl2	path:mmu00030	Pentose phosphate pathway	NP_001258503	Q9D4D4
128	75456	Prps1l1	path:mmu00030	Pentose phosphate pathway	NP_083570	Q8C5R8
129	14120	Fbp2	path:mmu00010	Glycolysis / Gluconeogenesis	NP_032020	Q3TKP4
130	14378	G6pc2	path:mmu00010	Glycolysis / Gluconeogenesis	NP_001276785	Q9Z186
131	100559	Ugt2b38	path:mmu00040	Pentose and glucuronate interconversions	NP_598655	Q91WH2
132	100727	Ugt2b34	path:mmu00040	Pentose and glucuronate interconversions	NP_705826	Q8K154
133	102448	Xylb	path:mmu00040	Pentose and glucuronate interconversions	NP_001028381	Q3TMS3
134	110006	Gusb	path:mmu00040	Pentose and glucuronate interconversions	NP_034498	P12265
135	112417	Ugt2b37	path:mmu00040	Pentose and glucuronate interconversions	NP_444445	Q8VCN3
136	14433	Gapdh	path:mmu00010	Glycolysis / Gluconeogenesis	NP_001276655	D2KHZ9
137	11671	Aldh3a2	path:mmu00040	Pentose and glucuronate interconversions	NP_031463	P47740
138	11677	Akr1b1	path:mmu00040	Pentose and glucuronate interconversions	NP_033788	P45376
139	11997	Akr1b7	path:mmu00040	Pentose and glucuronate interconversions	NP_033861	P21300
140	14187	Akr1b8	path:mmu00040	Pentose and glucuronate interconversions	NP_032038	P45377
141	14433	Gapdh	path:mmu00010	Glycolysis / Gluconeogenesis	NP_001276655	P16858
142	20322	Sord	path:mmu00040	Pentose and glucuronate interconversions	NP_666238	Q64442
143	216558	Ugp2	path:mmu00040	Pentose and glucuronate interconversions	NP_001277563	Q3U548
144	22235	Ugdh	path:mmu00040	Pentose and glucuronate interconversions	NP_033492	O70475
145	22236	Ugt1a2	path:mmu00040	Pentose and glucuronate interconversions	NP_038729	P70691
146	22238	Ugt2b5	path:mmu00040	Pentose and glucuronate interconversions	NP_033493	Q3UWB9
147	231396	Ugt2b36	path:mmu00040	Pentose and glucuronate interconversions	NP_001025038	Q3UEP4
148	243085	Ugt2b35	path:mmu00040	Pentose and glucuronate interconversions	NP_766469	Q8BJL9
149	394430	Ugt1a10	path:mmu00040	Pentose and glucuronate interconversions	NP_964003	E9PXN7
150	394432	Ugt1a7c	path:mmu00040	Pentose and glucuronate interconversions	NP_964004	Q6ZQM8
151	394433	Ugt1a5	path:mmu00040	Pentose and glucuronate interconversions	NP_964005	B2RT14
152	394434	Ugt1a9	path:mmu00040	Pentose and glucuronate interconversions	NP_964006	Q62452
153	394435	Ugt1a6b	path:mmu00040	Pentose and glucuronate interconversions	NP_958812	K9J7B2
154	394436	Ugt1a1	path:mmu00040	Pentose and glucuronate interconversions	NP_964007	Q63886
155	552899	Ugt2a2	path:mmu00040	Pentose and glucuronate interconversions	NP_001019319	Q6PDD0
156	58810	Akr1a1	path:mmu00040	Pentose and glucuronate interconversions	NP_067448	Q540D7
157	66646	Rpe	path:mmu00040	Pentose and glucuronate interconversions	NP_079959	Q8VEE0
158	67861	Akr1b10	path:mmu00040	Pentose and glucuronate interconversions	NP_765986	G5E895
159	67880	Dcxr	path:mmu00040	Pentose and glucuronate interconversions	NP_080704	Q91X52
160	68631	Cryl1	path:mmu00040	Pentose and glucuronate interconversions	NP_084280	A7VMV2
161	71755	Dhdh	path:mmu00040	Pentose and glucuronate interconversions	NP_082179	Q9DBB8
162	71773	Ugt2b1	path:mmu00040	Pentose and glucuronate interconversions	NP_690024	Q8R084
163	72094	Ugt2a3	path:mmu00040	Pentose and glucuronate interconversions	NP_082370	Q8BWQ1
164	15275	Hk1	path:mmu00010	Glycolysis / Gluconeogenesis	NP_001139572	Q6GQU1
165	94215	Ugt2a1	path:mmu00040	Pentose and glucuronate interconversions	NP_444414	Q80X89
166	94284	Ugt1a6	path:mmu00040	Pentose and glucuronate interconversions	NP_659545	Q64435
167	16828	Ldha	path:mmu00010	Glycolysis / Gluconeogenesis	NP_001129541	Q564E2
168	16833	Ldhc	path:mmu00010	Glycolysis / Gluconeogenesis	NP_038608	Q548Z6
169	110119	Mpi	path:mmu00051	Fructose and mannose metabolism	NP_080113	Q3V100
170	11674	Aldoa	path:mmu00051	Fructose and mannose metabolism	NP_001170778	A6ZI44
171	11676	Aldoc	path:mmu00051	Fructose and mannose metabolism	NP_001290352	P05063
172	11677	Akr1b1	path:mmu00051	Fructose and mannose metabolism	NP_033788	P45376
173	11997	Akr1b7	path:mmu00051	Fructose and mannose metabolism	NP_033861	P21300
174	14120	Fbp2	path:mmu00051	Fructose and mannose metabolism	NP_032020	P70695
175	14121	Fbp1	path:mmu00051	Fructose and mannose metabolism	NP_062268	Q9QXD6
176	14187	Akr1b8	path:mmu00051	Fructose and mannose metabolism	NP_032038	P45377
177	15275	Hk1	path:mmu00051	Fructose and mannose metabolism	NP_001139572	Q3TTB4
178	15277	Hk2	path:mmu00051	Fructose and mannose metabolism	NP_038848	O08528
179	16548	Khk	path:mmu00051	Fructose and mannose metabolism	NP_032465	P97328
180	170768	Pfkfb3	path:mmu00051	Fructose and mannose metabolism	NP_001171223	A7UAK4
181	18597	Pdha1	path:mmu00010	Glycolysis / Gluconeogenesis	NP_032836	Q3UFJ3
182	18640	Pfkfb2	path:mmu00051	Fructose and mannose metabolism	NP_001155887	B2Z893
183	18641	Pfkl	path:mmu00051	Fructose and mannose metabolism	NP_032852	P12382
184	18642	Pfkm	path:mmu00051	Fructose and mannose metabolism	NP_001156959	P47857
185	20322	Sord	path:mmu00051	Fructose and mannose metabolism	NP_666238	Q64442
186	212032	Hk3	path:mmu00051	Fructose and mannose metabolism	NP_001028417	Q3TRM8
187	216019	Hkdc1	path:mmu00051	Fructose and mannose metabolism	NP_663394	Q91W97
188	218138	Gmds	path:mmu00051	Fructose and mannose metabolism	NP_666153	Q8K0C9
189	21991	Tpi1	path:mmu00051	Fructose and mannose metabolism	NP_033441	P17751
190	22122	Tsta3	path:mmu00051	Fructose and mannose metabolism	NP_112478	P23591
191	230163	Aldob	path:mmu00051	Fructose and mannose metabolism	NP_659152	Q3UER1
192	234730	Fuk	path:mmu00051	Fructose and mannose metabolism	NP_758487	Q7TMC8
193	270198	Pfkfb4	path:mmu00051	Fructose and mannose metabolism	NP_766607	Q6DTY7
194	29858	Pmm1	path:mmu00051	Fructose and mannose metabolism	NP_001268969	Q545Q8
195	319801	Tigar	path:mmu00051	Fructose and mannose metabolism	NP_795977	B2RWB7
196	331026	Gmppb	path:mmu00051	Fructose and mannose metabolism	NP_808578	Q8BTZ7
197	353204	Aldoart1	path:mmu00051	Fructose and mannose metabolism	NP_001186199	A6ZI46
198	54128	Pmm2	path:mmu00051	Fructose and mannose metabolism	NP_058577	Q545N8
199	56421	Pfkp	path:mmu00051	Fructose and mannose metabolism	NP_001278000	Q8C605
200	18641	Pfkl	path:mmu00010	Glycolysis / Gluconeogenesis	NP_032852	Q8CD98
201	69080	Gmppa	path:mmu00051	Fructose and mannose metabolism	NP_598469	Q922H4
202	75540	Fpgt	path:mmu00051	Fructose and mannose metabolism	NP_083606	G5E8F4
203	18648	Pgam1	path:mmu00010	Glycolysis / Gluconeogenesis	NP_075907	Q9DBJ1
204	103988	Gck	path:mmu00052	Galactose metabolism	NP_001274315	P52792
205	11605	Gla	path:mmu00052	Galactose metabolism	NP_038491	Q3UM38
206	11677	Akr1b1	path:mmu00052	Galactose metabolism	NP_033788	P45376
207	11997	Akr1b7	path:mmu00052	Galactose metabolism	NP_033861	P21300
208	12091	Glb1	path:mmu00052	Galactose metabolism	NP_033882	P23780
209	14187	Akr1b8	path:mmu00052	Galactose metabolism	NP_032038	P45377
210	14377	G6pc	path:mmu00052	Galactose metabolism	NP_032087	P35576
211	14378	G6pc2	path:mmu00052	Galactose metabolism	NP_001276785	Q9Z186
212	14387	Gaa	path:mmu00052	Galactose metabolism	NP_001152796	P70699
213	14430	Galt	path:mmu00052	Galactose metabolism	NP_001289440	Q3TQJ2
214	14595	B4galt1	path:mmu00052	Galactose metabolism	NP_071641	P15535
215	14635	Galk1	path:mmu00052	Galactose metabolism	NP_058601	Q9CXZ9
216	15275	Hk1	path:mmu00052	Galactose metabolism	NP_001139572	Q3TTB4
217	15277	Hk2	path:mmu00052	Galactose metabolism	NP_038848	O08528
218	16770	Lalba	path:mmu00052	Galactose metabolism	NP_034809	A0A077S9Z6
219	18641	Pfkl	path:mmu00052	Galactose metabolism	NP_032852	P12382
220	18642	Pfkm	path:mmu00052	Galactose metabolism	NP_001156959	P47857
221	212032	Hk3	path:mmu00052	Galactose metabolism	NP_001028417	Q3TRM8
222	216019	Hkdc1	path:mmu00052	Galactose metabolism	NP_663394	Q91W97
223	216558	Ugp2	path:mmu00052	Galactose metabolism	NP_001277563	Q3U548
224	226413	Lct	path:mmu00052	Galactose metabolism	NP_001074547	F8VPT3
225	232714	Mgam	path:mmu00052	Galactose metabolism	NP_001164474	B5THE2
226	319625	Galm	path:mmu00052	Galactose metabolism	NP_795937	Q8K157
227	53418	B4galt2	path:mmu00052	Galactose metabolism	NP_001240310	B1ASJ2
228	56421	Pfkp	path:mmu00052	Galactose metabolism	NP_001278000	Q8C605
229	66681	Pgm2	path:mmu00052	Galactose metabolism	NP_079976	Q7TSV4
230	67861	Akr1b10	path:mmu00052	Galactose metabolism	NP_765986	G5E895
231	68401	G6pc3	path:mmu00052	Galactose metabolism	NP_787949	Q6NSQ9
232	69983	Sis	path:mmu00052	Galactose metabolism	NP_001074606	F8VQM5
233	72157	Pgm2	path:mmu00052	Galactose metabolism	NP_082408	Q3U6X6
234	74246	Gale	path:mmu00052	Galactose metabolism	NP_848476	Q8R059
235	76051	Ganc	path:mmu00052	Galactose metabolism	NP_766260	A2AQJ8
236	230163	Aldob	path:mmu00010	Glycolysis / Gluconeogenesis	NP_659152	Q91Y97
237	100559	Ugt2b38	path:mmu00053	Ascorbate and aldarate metabolism	NP_598655	Q91WH2
238	100727	Ugt2b34	path:mmu00053	Ascorbate and aldarate metabolism	NP_705826	Q8K154
239	110695	Aldh7a1	path:mmu00053	Ascorbate and aldarate metabolism	NP_001120810	Q9DBF1
240	112417	Ugt2b37	path:mmu00053	Ascorbate and aldarate metabolism	NP_444445	Q8VCN3
241	11671	Aldh3a2	path:mmu00053	Ascorbate and aldarate metabolism	NP_031463	P47740
242	19733	Rgn	path:mmu00053	Ascorbate and aldarate metabolism	NP_033086	Q64374
243	22235	Ugdh	path:mmu00053	Ascorbate and aldarate metabolism	NP_033492	O70475
244	22236	Ugt1a2	path:mmu00053	Ascorbate and aldarate metabolism	NP_038729	P70691
245	22238	Ugt2b5	path:mmu00053	Ascorbate and aldarate metabolism	NP_033493	Q3UWB9
246	231396	Ugt2b36	path:mmu00053	Ascorbate and aldarate metabolism	NP_001025038	Q3UEP4
247	243085	Ugt2b35	path:mmu00053	Ascorbate and aldarate metabolism	NP_766469	Q8BJL9
248	268756	Gulo	path:mmu00053	Ascorbate and aldarate metabolism	NP_848862	P58710
249	394430	Ugt1a10	path:mmu00053	Ascorbate and aldarate metabolism	NP_964003	E9PXN7
250	394432	Ugt1a7c	path:mmu00053	Ascorbate and aldarate metabolism	NP_964004	Q6ZQM8
251	394433	Ugt1a5	path:mmu00053	Ascorbate and aldarate metabolism	NP_964005	B2RT14
252	394434	Ugt1a9	path:mmu00053	Ascorbate and aldarate metabolism	NP_964006	Q62452
253	394435	Ugt1a6b	path:mmu00053	Ascorbate and aldarate metabolism	NP_958812	K9J7B2
254	394436	Ugt1a1	path:mmu00053	Ascorbate and aldarate metabolism	NP_964007	Q63886
255	433182	EG433182	path:mmu00010	Glycolysis / Gluconeogenesis	NP_001020559	Q5FW97
256	56727	Miox	path:mmu00053	Ascorbate and aldarate metabolism	NP_064361	Q9QXN5
257	56752	Aldh9a1	path:mmu00053	Ascorbate and aldarate metabolism	NP_064377	Q3TMT4
258	71773	Ugt2b1	path:mmu00053	Ascorbate and aldarate metabolism	NP_690024	Q8R084
259	72094	Ugt2a3	path:mmu00053	Ascorbate and aldarate metabolism	NP_082370	Q8BWQ1
260	72535	Aldh1b1	path:mmu00053	Ascorbate and aldarate metabolism	NP_082546	Q9CZS1
261	56012	Pgam2	path:mmu00010	Glycolysis / Gluconeogenesis	NP_061358	Q5NCI4
262	94284	Ugt1a6	path:mmu00053	Ascorbate and aldarate metabolism	NP_659545	Q64435
263	56421	Pfkp	path:mmu00010	Glycolysis / Gluconeogenesis	NP_001278000	Q9WUA3
264	56421	Pfkp	path:mmu00010	Glycolysis / Gluconeogenesis	NP_001278000	Q8C605
265	56752	Aldh9a1	path:mmu00010	Glycolysis / Gluconeogenesis	NP_064377	Q3U367
266	56752	Aldh9a1	path:mmu00010	Glycolysis / Gluconeogenesis	NP_064377	Q3V1N7
267	56752	Aldh9a1	path:mmu00010	Glycolysis / Gluconeogenesis	NP_064377	Q9JLJ2
268	56847	Aldh1a3	path:mmu00010	Glycolysis / Gluconeogenesis	NP_444310	Q9JHW9
269	58810	Akr1a1	path:mmu00010	Glycolysis / Gluconeogenesis	NP_067448	Q80XJ7
270	58810	Akr1a1	path:mmu00010	Glycolysis / Gluconeogenesis	NP_067448	Q9JII6
271	100705	Acacb	path:mmu00061	Fatty acid biosynthesis	NP_598665	E9Q4Z2
272	107476	Acaca	path:mmu00061	Fatty acid biosynthesis	NP_579938	Q5SWU9
273	14081	Acsl1	path:mmu00061	Fatty acid biosynthesis	NP_001289092	P41216
274	14104	Fasn	path:mmu00061	Fatty acid biosynthesis	NP_032014	P19096
275	216739	Acsl6	path:mmu00061	Fatty acid biosynthesis	NP_001028769	Q8R1X1
276	223722	Mcat	path:mmu00061	Fatty acid biosynthesis	NP_001025185	Q8R3F5
277	328845	Acsbg2	path:mmu00061	Fatty acid biosynthesis	NP_001034203	Q2XU92
278	433256	Acsl5	path:mmu00061	Fatty acid biosynthesis	NP_082252	Q3UC67
279	50790	Acsl4	path:mmu00061	Fatty acid biosynthesis	NP_001028772	Q91YN3
280	71147	Oxsm	path:mmu00061	Fatty acid biosynthesis	NP_081971	Q9D404
281	74205	Acsl3	path:mmu00061	Fatty acid biosynthesis	NP_001028778	Q9CZW4
282	78625	1700061G19Rik	path:mmu00061	Fatty acid biosynthesis	NP_084417	Q08EE8
283	94180	Acsbg1	path:mmu00061	Fatty acid biosynthesis	NP_444408	Q99PU5
284	99035	Olah	path:mmu00061	Fatty acid biosynthesis	NP_666033	Q8R197
285	67689	Aldh3b1	path:mmu00010	Glycolysis / Gluconeogenesis	NP_080592	Q80VQ0
286	68738	Acss1	path:mmu00010	Glycolysis / Gluconeogenesis	NP_542142	Q69Z91
287	68738	Acss1	path:mmu00010	Glycolysis / Gluconeogenesis	NP_542142	Q99NB1
288	68738	Acss1	path:mmu00010	Glycolysis / Gluconeogenesis	NP_542142	Q569W4
289	106529	Tecr	path:mmu00062	Fatty acid elongation	NP_081455	G3UWE1
290	12686	Elovl3	path:mmu00062	Fatty acid elongation	NP_031729	O35949
291	15107	Hadh	path:mmu00062	Fatty acid elongation	NP_032238	Q61425
292	170439	Elovl6	path:mmu00062	Fatty acid elongation	NP_569717	Q920L5
293	171210	Acot2	path:mmu00062	Fatty acid elongation	NP_598949	Q6P2K2
294	171281	Acot3	path:mmu00062	Fatty acid elongation	NP_599007	Q53YL1
295	171282	Acot4	path:mmu00062	Fatty acid elongation	NP_599008	Q14DI6
296	19063	Ppt1	path:mmu00062	Fatty acid elongation	NP_032943	O88531
297	217698	Acot5	path:mmu00062	Fatty acid elongation	NP_663419	Q6Q2Z6
298	231086	Hadhb	path:mmu00062	Fatty acid elongation	NP_001276727	Q99JY0
299	26897	Acot1	path:mmu00062	Fatty acid elongation	NP_036136	O55137
300	26922	Mecr	path:mmu00062	Fatty acid elongation	NP_079573	Q9DCS3
301	52538	Acaa2	path:mmu00062	Fatty acid elongation	NP_803421	Q8BWT1
302	54325	Elovl1	path:mmu00062	Fatty acid elongation	NP_001034264	Q4V9V3
